A009;Choléra, sans précision
F333;Trouble dépressif récurrent, épisode actuel sévère avec symptômes psychotiques
F334;Trouble dépressif récurrent, actuellement en rémission
F338;Autres troubles dépressifs récurrents
F339;Trouble dépressif récurrent, sans précision
F340;Cyclothymie
F341;Dysthymie
F348;Autres troubles de l'humeur [affectifs] persistants
F349;Trouble de l'humeur [affectif] persistant, sans précision
F380;Autres troubles de l'humeur [affectifs] isolés
F381;Autres troubles de l'humeur [affectifs] récurrents
F388;Autres troubles de l'humeur [affectifs] précisés
F39;Trouble de l'humeur [affectif], sans précision
F400;Agoraphobie
F401;Phobies sociales
F402;Phobies spécifiques (isolées)
F408;Autres troubles anxieux phobiques
F409;Trouble anxieux phobique, sans précision
F410;Trouble panique [anxiété épisodique paroxystique]
F411;Anxiété généralisée
F412;Trouble anxieux et dépressif mixte
F413;Autres troubles anxieux mixtes
F418;Autres troubles anxieux précisés
F419;Trouble anxieux, sans précision
F420;Trouble obsessionnel-compulsif avec idées ou ruminations obsédantes au premier plan
F421;Trouble obsessionnel-compulsif avec comportements compulsifs [rituels obsessionnels] au premier plan
F422;Trouble obsessionnel-compulsif : forme mixte, avec idées obsédantes et comportements compulsifs
F428;Autres troubles obsessionnels-compulsifs
F429;Trouble obsessionnel-compulsif, sans précision
F430;Réaction aiguë à un facteur de stress
F431;État de stress post-traumatique
F432;Troubles de l'adaptation
F438;Autres réactions à un facteur de stress sévère
F439;Réaction à un facteur de stress sévère, sans précision
F440;Amnésie dissociative
F441;Fugue dissociative
F442;Stupeur dissociative
F443;États de transe et de possession
F444;Troubles moteurs dissociatifs
F445;Convulsions dissociatives
F446;Anesthésie dissociative et atteintes sensorielles
F447;Trouble dissociatif [de conversion] mixte
F448;Autres troubles dissociatifs [de conversion]
F449;Trouble dissociatif [de conversion], sans précision
F450;Somatisation
F451;Trouble somatoforme indifférencié
F452;Trouble hypocondriaque
F453;Dysfontionnement neurovégétatif somatoforme
F454;Syndrome douloureux somatoforme persistant
F458;Autres troubles somatoformes
F459;Trouble somatoforme, sans précision
F480;Neurasthénie
F481;Syndrome de dépersonnalisation-déréalisation
F488;Autres troubles névrotiques précisés
F489;Trouble névrotique, sans précision
F500;Anorexie mentale
F501;Anorexie mentale atypique
F502;Boulimie (bulimia nervosa)
F503;Boulimie atypique
F504;Hyperphagie associée à d'autres pertubations psychologiques
F505;Vomissements associés à d'autres pertubations psychologiques
F508;Autres troubles de l'alimentation non organique
F509;Trouble de l'alimentation non organique, sans précision
F510;Insomnie non organique
F511;Hypersomnie non organique
F512;Trouble du rythme veille-sommeil non dû à une cause organique
F513;Somnanbulisme
F514;Terreurs nocturnes
F515;Cauchemars
F518;Autres troubles du sommeil non organiques
F519;Trouble du sommeil non organique, sans précision
F520;Absence ou perte de désir sexuel
F521;Aversion sexuelle et manque de plaisir sexuel
F522;Échec de la réponse génitale
F523;Dysfonctionnement orgasmique
F524;Éjaculation précoce
F525;Vaginisme non organique
F526;Dyspareunie non organique
F527;Activité sexuelle excessive
F528;Autres dysfonctionnements sexuels, non dus à un trouble ou à une maladie organique
F529;Dysfonctionnement sexuel non dû à un trouble ou à une maladie organique, sans précision
F530;Troubles mentaux et du comportement légers associés à la puerpéralité, non classés ailleurs
F531;Troubles mentaux et du comportement sévères associés à la puerpéralité, non classés ailleurs
F538;Autres troubles mentaux et du comportement associés à la puerpéralité, non classés ailleurs
F539;Trouble mental de la puerpéralité, sans précision
F54;Facteurs psychologiques et comportementaux associés à des maladies ou des troubles classés ailleurs
F55;Abus de substances n'entraînant pas de dépendance
F59;Syndromes comportementaux non précisés associés à des perturbations physiologiques et à des facteurs physiques
F600;Personnalité paranoïaque
F601;Personnalité schizoïde
F602;Personnalité dyssociale
F603;Personnalité émotionnellement labile
F604;Personnalité histrionique
F605;Personnalité anankastique
F606;Personnalité anxieuse [évitante]
F607;Personnalité dépendante
F608;Autres troubles spécifiques de la personnalité
F609;Trouble de la personnalité, sans précision
F61;Troubles mixtes de la personnalité et autres troubles de la personnalité
F620;Modification durable de la personnalité après une expérience de catastrophe
F621;Modification durable de la personnalité après une maladie psychiatrique
F628;Autres modifications durables de la personnalité
F629;Modification durable de la personnalité, sans précision
F630;Jeu pathologique
F631;Tendance pathologique à allumer des incendies [pyromanie]
F632;Tendance pathologique à commettre des vols [kleptomanie]
F633;Trichotillomanie
F638;Autres troubles des habitudes et des impulsions
F639;Trouble des habitudes et des impulsions, sans précision
F640;Transsexualisme
F641;Travestisme bivalent
F642;Trouble de l'identité sexuelle de l'enfance
F648;Autres troubles de l'identité sexuelle
F649;Trouble de l'identité sexuelle, sans précision
F650;Fétichisme
F651;Travestisme fétichiste
F652;Exhibitionnisme
F653;Voyeurisme
F654;Pédophilie
F655;Sado-masochisme
F656;Troubles multiples de la préférence sexuelle
F658;Autres troubles de la préférence sexuelle
F659;Trouble de la préférence sexuelle, sans précision
F660;Trouble de la maturation sexuelle
F661;Orientation sexuelle égodystonique
F662;Problème sexuel relationnel
F668;Autres troubles du développement psychosexuel
F669;Trouble du développement psychosexuel, sans précision
F680;Majoration de symptômes physiques pour des raisons psychologiques
F681;Production intentionnelle ou simulation de symptômes ou d'une incapacité, soit physique soit psychologique [trouble factice]
F688;Autres troubles précisés de la personnalité et du comportement chez l'adulte
F69;Trouble de la personnalité et du comportement chez l'adulte, sans précision
F700;Retard mental léger : déficience du comportement absent ou minime
F701;Retard mental léger : déficience du comportement significatif, nécessitant une surveillance ou traitement
F708;Retard mental léger : autres déficiences du comportement
F709;Retard mental léger : sans mention d'une déficience du comportement
F710;Retard mental moyen : déficience du comportement absent ou minime
F711;Retard mental moyen : déficience du comportement significatif, nécessitant une surveillance ou traitement
F718;Retard mental moyen : autres déficiences du comportement
F719;Retard mental moyen : sans mention d'une déficience du comportement
F720;Retard mental grave : déficience du comportement absent ou minime
F721;Retard mental grave : déficience du comportement significatif, nécessitant une surveillance ou traitement
F728;Retard mental grave : autres déficiences du comportement
F729;Retard mental grave : sans mention d'une déficience du comportement
F730;Retard mental profond : déficience du comportement absent ou minime
F731;Retard mental profond : déficience du comportement significatif, nécessitant une surveillance ou traitement
F738;Retard mental profond : autres déficiences du comportement
F739;Retard mental profond : sans mention d'une déficience du comportement
F780;Autres formes de retard mental : déficience du comportement absent ou minime
F781;Autres formes de retard mental : déficience du comportement significatif, nécessitant une surveillance ou traitement
F788;Autres formes de retard mental : autres déficiences du comportement
F789;Autres formes de retard mental : sans mention d'une déficience du comportement
F790;Retard mental, sans précision : déficience du comportement absent ou minime
F791;Retard mental, sans précision : déficience du comportement significatif, nécessitant une surveillance ou traitement
F798;Retard mental, sans précision : autres déficiences du comportement
F799;Retard mental, sans précision : sans mention d'une déficience du comportement
F800;Trouble spécifique de l'acquisition de l'articulation
F801;Trouble de l'acquisition du langage, de type expressif
F802;Trouble de l'acquisition du langage, de type réceptif
F803;Aphasie acquise avec épilepsie [Landau-Kleffner]
F808;Autres troubles du développement de la parole et du langage
F809;Trouble du développement de la parole et du langage, sans précision
F810;Trouble spécifique de la lecture
F811;Trouble spécifique de l'acquisition de l'orthographe
F812;Trouble spécifique de l'acquisition de l'arithmétique
F813;Trouble mixte des acquisitions scolaires
F818;Autres troubles du développement, des acquisitions scolaires
F819;Trouble du développement, des acquisitions scolaires, sans précision
F82;Trouble spécifique du développement moteur
F83;Troubles spécifiques mixtes du développement
F840;Autisme infantile
F841;Autisme atypique
F842;Syndrome de Rett
F843;Autre trouble désintégratif de l'enfance
F844;Hyperactivité associée à un retard mental et à des mouvements stéréotypés
F845;Syndrome d'Asperger
F848;Autres troubles envahissants du développement
F849;Trouble envahissant du développement, sans précision
F88;Autres troubles du développement psychologique
F89;Trouble du développement psychologique, sans précision
F900;Perturbation de l'activité et de l'attention
F901;Trouble hyperkinétique et trouble des conduites
F908;Autres troubles hyperkinétiques
F909;Trouble hyperkinétique, sans précision
F910;Trouble des conduites limité au milieu familial
F911;Trouble des conduites, type mal socialisé
F912;Trouble des conduites, type socialisé
F913;Trouble oppositionnel, avec provocation
F918;Autres troubles des conduites
F919;Trouble des conduites, sans précision
F920;Troubles des conduites avec dépression
F928;Autres troubles mixtes des conduites et troubles émotionnels
F929;Trouble mixte des conduites et troubles émotionnels, sans précision
F930;Angoisse de séparation de l'enfance
F931;Trouble anxieux phobique de l'enfance
F932;Anxiété sociale de l'enfance
F933;Rivalité dans la fratrie
F938;Autres troubles émotionnels de l'enfance
F939;Trouble émotionnel de l'enfance, sans précision
F940;Mutisme électif
F941;Trouble réactionnel de l'attachement de l'enfance
F942;Trouble de l'attachement de l'enfance avec désinhibition
F948;Autres troubles du fonctionnement social de l'enfance
F949;Trouble du fonctionnement social de l'enfance, sans précision
F950;Tic transitoire
F951;Tic moteur ou vocal chronique
F952;Forme associant tics vocaux et tics moteurs [syndrome de Gilles de la Tourette]
F958;Autres tics
F959;Tic, sans précision
F980;Énurésie non organique
F981;Encoprésie non organique
F982;Trouble de l'alimentation non organique du nourrisson et de l'enfant
F983;Pica du nourrisson et de l'enfant
F984;Mouvements stéréotypés
F985;Bégaiement
F986;Bredouillement [langage précipité]
F988;Autres troubles précisés du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence
F989;Trouble du comportement et trouble émotionnel apparaissant habituellement durant l'enfance et l'adolescence, sans précision
F99;Trouble mental, sans autre indication
G000;Méningite à Haemophilus
G001;Méningite à pneumocoques
G002;Méningite à streptocoques
G003;Méningite à staphylocoques
G008;Autres méningites bactériennes
G009;Méningite bactérienne, sans précision
G01;Méningite au cours d'affections bactériennes classées ailleurs
G020;Méningite au cours d'infections virales classées ailleurs
G021;Méningite au cours de mycoses classées ailleurs
G028;Méningite au cours d'autres maladies infectieuses et parasitaires précisées classées ailleurs
G030;Méningite à liquide clair
G031;Méningite chronique
G032;Méningite récurrente bénigne [Mollaret]
G038;Méningite due à d'autres causes précisées
G039;Méningite, sans précision
G040;Encéphalite aiguë disséminée
G041;Paraplégie spastique tropicale
G042;Méningo-encéphalite et méningomyélite bactériennes, non classées ailleurs
G048;Autres encéphalites, myélites et encéphalomyélites
G049;Encéphalite, myélite et encéphalomyélite, sans précision
G050;Encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs
G051;Encéphalite, myélite et encéphalomyélite au cours d'infections virales classées ailleurs
G052;Encéphalite, myélite et encéphalomyélite au cours d'autres maladies infectieuses et parasitaires classées ailleurs
G058;Encéphalite, myélite et encéphalomyélite au cours d'autres affections classées ailleurs
G060;Abcès et granulome intracrâniens
G061;Abcès et granulome intrarachidiens
G062;Abcès extra-dural et sous-dural, sans précision
G07;Abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs
G08;Phlébite et thrombophlébite intracrâniennes et intrarachidiennes
G09;Séquelles d'affections inflammatoires du système nerveux central
G10;Chorée de Huntington
G110;Ataxie congénitale non progressive
G111;Ataxie cérébelleuse à début précoce
G112;Ataxie cérébelleuse tardive
G113;Ataxie cérébelleuse avec défaut de réparation de l'ADN
G114;Paraplégie spastique héréditaire
G118;Autres ataxies héréditaires
G119;Ataxie héréditaire, sans précision
G120;Amyotrophie spinale infantile, type I [Werdnig-Hoffman]
G121;Autres amyotrophies spinales héréditaires
G122;Maladies du neurone moteur
G128;Autres amyotrophies spinales et syndromes apparentés
G129;Amyotrophie spinale, sans précision
G130;Neuromyopathie et neuropathie paranéoplasiques
G131;Autres affections dégénératives systémiques affectant principalement le système nerveux central au cours de maladies tumorales
G132;Affections dégénératives systémiques affectant principalement le système nerveux central au cours d'un myxodème (E00.1, E03.-)
G138;Affections dégénératives systémiques affectant principalement le système nerveux central au cours d'autres affections classées ailleurs
G20;Maladie de Parkinson
G210;Syndrome malin des neuroleptiques
G211;Autres syndromes secondaires parkinsoniens dus à des médicaments
G212;Syndrome parkinsonien secondaire dû à d'autres agents externes
G213;Syndrome parkinsonien postencéphalitique
G218;Autres syndromes parkinsoniens secondaires
G219;Syndrome parkinsonien secondaire, sans précision
G22;Syndrome parkinsonien au cours de maladies classées ailleurs
G230;Maladie de Hallervorden-Spatz
G231;Ophtalmoplégie supranucléaire progressive [maladie de Steele-Richardson-Olszewski]
G232;Dégénérescence striato-nigrique [nigrostriée]
G238;Autres maladies dégénératives précisées des noyaux gris centraux
G239;Maladie dégénérative des noyaux gris centraux, sans précision
G240;Dystonie médicamenteuse
G241;Dystonie idiopathique (familiale)
G242;Dystonie idiopathique non familiale
G243;Torticolis spasmodique
G244;Dystonie bucco-faciale idiopathique
G245;Blépharospasme
G248;Autres dystonies
G249;Dystonie, sans précision
G250;Tremblement essentiel
G251;Tremblement dû à des médicaments
G252;Autres formes précisées de tremblement
G253;Myoclonie
G254;Chorée médicamenteuse
G255;Autres chorées
G256;Tics médicamenteux et autres tics d'origine organique
G258;Autres syndromes précisés extrapyramidaux et troubles de la motricité
G259;Syndrome extrapyramidal et trouble de la motricité, sans précision
G26;Syndromes extrapyramidaux et troubles de la motricité au cours d'affections classées ailleurs
G300;Maladie d'Alzheimer à début précoce
G301;Maladie d'Alzheimer à début tardif
G308;Autres formes de la maladie d'Alzheimer
G309;Maladie d'Alzheimer, sans précision
G310;Atrophie cérébrale circonscrite
G311;Dégénérescence cérébrale sénile, non classée ailleurs
G312;Dégénérescence du système nerveux liée à l'alcool
G318;Autres affections dégénératives précisées du système nerveux
G319;Affection dégénérative du système nerveux, sans précision
G320;Dégénérescence combinée subaiguë de la moelle épinière au cours de maladies classées ailleurs
G328;Autres affections dégénératives précisées du système nerveux au cours de maladies classées ailleurs
G35;Sclérose en plaques
G360;Neuromyélite optique [Devic]
G361;Leucoencéphalite hémorragique aiguë et subaiguë [Hurst]
G368;Autres affections démyélinisantes aiguës disséminées précisées
G369;Affection démyélinisante aiguë disséminée, sans précision
G370;Sclérose diffuse
G371;Démyélinisation centrale du corps calleux
G372;Myélinolyse centropontine
G373;Myélite transverse aiguë (au cours d'affections démyélinisantes du système nerveux central)
G374;Myélite nécrosante subaiguë
G375;Sclérose concentrique [Baló] (système nerveux central)
G378;Autres affections démyélinisantes précisées du système nerveux central
G379;Affection démyélinisante du système nerveux central, sans précision
G400;Épilepsie et syndromes épileptiques idiopathiques définis par leur localisation (focale, partielle) avec crises à début focal
G401;Épilepsie et syndromes épileptiques symptomatiques définis par leur localisation (focale, partielle) avec crises partielles simples
G402;Épilepsie et syndromes épileptiques symptomatiques définis par leur localisation (focale, partielle) avec des crises partielles complexes
G403;Épilepsie et syndromes épileptiques généralisés idiopathiques
G404;Autres épilepsies et syndromes épileptiques généralisés
G405;Syndromes épileptiques particuliers
G406;Crise de grand mal, sans précision (avec ou sans petit mal)
G407;Petit mal, sans crises de grand mal, sans précision
G408;Autres épilepsies
G409;Épilepsie, sans précision
G410;État de grand mal épileptique
G411;État de petit mal épileptique
G412;État de mal épileptique partiel complexe
G418;Autres états de mal épileptique
G419;État de mal épileptique, sans précision
G430;Migraine sans aura [migraine commune]
G431;Migraine avec aura [migraine classique]
G432;État de mal migraineux
G433;Migraine compliquée
G438;Autres migraines
G439;Migraine, sans précision
G440;Syndrome d'algie vasculaire de la face
G441;Céphalée vasculaire, non classée ailleurs
G442;Céphalée dite de tension
G443;Céphalée chronique post-traumatique
G444;Céphalée médicamenteuse, non classée ailleurs
G448;Autres syndromes précisés d'algies céphaliques
G450;Syndrome vertébro-basilaire
G451;Syndrome carotidien (hémisphérique)
G452;Accident ischémique transitoire de territoires artériels précérébraux multiples et bilatéraux
G453;Amaurose fugace
G454;Amnésie globale transitoire
G458;Autres accidents ischémiques cérébraux transitoires et syndromes apparentés
G459;Accident ischémique cérébral transitoire, sans précision
G460;Syndrome de l'artère cérébrale moyenne (I66.0)
G461;Syndrome de l'artère cérébrale antérieure (I66.1)
G462;Syndrome de l'artère cérébrale postérieure (I66.2)
G463;Syndromes vasculaires du tronc cérébral (I60-I67)
G464;Syndrome cérébelleux vasculaire (I60-I67)
G465;Syndrome lacunaire moteur pur (I60-I67)
G466;Syndrome lacunaire sensitif pur (I60-I67)
G467;Autres syndromes lacunaires (I60-I67)
G468;Autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires (I60-I67)
G470;Troubles de l'endormissement et du maintien du sommeil [insomnies]
G471;Troubles du sommeil par somnolence excessive [hypersomnies]
G472;Troubles du cycle veille-sommeil
G473;Apnée du sommeil
G474;Narcolepsie et cataplexie
G478;Autres troubles du sommeil
G479;Trouble du sommeil, sans précision
G500;Névralgie du trijumeau
G501;Algie faciale atypique
G508;Autres affections du nerf trijumeau
G509;Affection du nerf trijumeau, sans précision
G510;Paralysie faciale a frigore
G511;Atteinte du ganglion géniculé
G512;Syndrome de Melkersson-Rosenthal
G513;Hémispasme facial clonique
G514;Myokymies faciales
G518;Autres affections du nerf facial
G519;Affection du nerf facial, sans précision
G520;Affections du nerf olfactif
G521;Affections du nerf glossopharyngien
G522;Affections du nerf vagal
G523;Affections du nerf grand hypoglosse
G527;Affections de plusieurs nerfs crâniens
G528;Affections d'autres nerfs crâniens précisés
G529;Affection des nerfs crâniens, sans précision
G530;Névralgie post-zostérienne (B02.2)
G531;Paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs (A00-B99)
G532;Paralysie de plusieurs nerfs crâniens au cours de sarcoïdose (D86.8)
G533;Paralysie de plusieurs nerfs crâniens au cours de maladies tumorales (C00-D48)
G538;Autres affections des nerfs crâniens au cours d'autres maladies classées ailleurs
G540;Affections du plexus brachial
G541;Affections du plexus lombosacré
G542;Affections radiculaires cervicales, non classées ailleurs
G543;Affections radiculaires thoraciques, non classées ailleurs
G544;Affections radiculaires lombosacrées, non classées ailleurs
G545;Névralgie amyotrophique
G546;Syndrome douloureux du membre fantôme
G547;Syndrome du membre fantôme (sans élément douloureux)
G548;Autres affections des racines et des plexus nerveux
G549;Affection des racines et des plexus nerveux, sans précision
G550;Compression des racines et des plexus nerveux au cours de maladies tumorales (C00-D48)
G551;Compression des racines et des plexus nerveux au cours d'atteintes des disques intervertébraux (M50-M51)
G552;Compression des racines et des plexus nerveux au cours de spondylarthroses (M47.-)
G553;Compression des racines et des plexus nerveux au cours d'autres dorsopathies (M45-M46, M48.-, M53-M54)
G558;Compression des racines et des plexus nerveux au cours d'autres maladies classées ailleurs
G560;Syndrome du canal carpien
G561;Autres lésions du nerf médian
G562;Lésion du nerf cubital
G563;Lésion du nerf radial
G564;Causalgie
G568;Autres mononévrites du membre supérieur
G569;Mononévrite du membre supérieur, sans précision
G570;Lésion du nerf sciatique
G571;Méralgie paresthésique
G572;Lésion du nerf fémoral
G573;Lésion du nerf sciatique poplité externe
G574;Lésion du nerf sciatique poplité interne
G575;Syndrome du canal tarsien
G576;Lésion du nerf plantaire
G578;Autres mononévrites du membre inférieur
G579;Mononévrite du membre inférieur, sans précision
G580;Névrite intercostale
G587;Mononévrite de sièges multiples
G588;Autres mononévrites précisées
G589;Mononévrite, sans précision
G590;Mononévrite diabétique (E10-E14 avec le quatrième chiffre .4)
G598;Autres mononévrites au cours de maladies classées ailleurs
G600;Neuropathie héréditaire motrice et sensorielle
G601;Maladie de Refsum
G602;Neuropathie associée à une ataxie héréditaire
G603;Neuropathie progressive idiopathique
G608;Autres neuropathies héréditaires et idiopathiques
G609;Neuropathie héréditaire et idiopathique, sans précision
G610;Syndrome de Guillain-Barré
G611;Neuropathie sérique
G618;Autres polynévrites inflammatoires
G619;Polynévrite inflammatoire, sans précision
G620;Polynévrite médicamenteuse
G621;Polynévrite alcoolique
G622;Polynévrite due à d'autres agents toxiques
G628;Autres polynévrites précisées
G629;Polynévrite, sans précision
G630;Polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs
G631;Polynévrite au cours de maladies tumorales (C00-D48)
G632;Polynévrite diabétique (E10-E14 avec le quatrième chiffre .4)
G633;Polynévrite au cours d'autres maladies endocriniennes et métaboliques (E00-E07, E15-E16, E20-E34, E70-E89)
G634;Polynévrite par carence nutritionnelle (E40-E64)
G635;Polynévrite au cours d'affections disséminées du tissu conjonctif (M30-M35)
G636;Polynévrite au cours d'autres affections ostéo-articulaires et des muscles (M00-M25, M40-M96)
G638;Polynévrite au cours d'autres maladies classées ailleurs
G64;Autres affections du système nerveux périphérique
G700;Myasthénie
G701;Affections neuro-musculaires toxiques
G702;Myasthénie congénitale au cours du développement
G708;Autres affections neuro-musculaires précisées
G709;Affection neuro-musculaire, sans précision
G710;Dystrophie musculaire
G711;Affections myotoniques
G712;Myopathies congénitales
G713;Myopathie mitochondriale, non classée ailleurs
G718;Autres affections musculaires primitives
G719;Affection musculaire primitive, sans précision
G720;Myopathie médicamenteuse
G721;Myopathie alcoolique
G722;Myopathie due à d'autres agents toxiques
G723;Paralysies périodiques
G724;Myopathie inflammatoire, non classée ailleurs
G728;Autres myopathies précisées
G729;Myopathie, sans précision
G730;Syndrome myasthénique au cours de maladies endocriniennes
G731;Syndrome de Lambert-Eaton (C80)
G732;Autres syndromes myasthéniques au cours de maladies tumorales (C00-D48)
G733;Syndrome myasthénique au cours d'autres maladies classées ailleurs
G734;Myopathie au cours de maladies infectieuses et parasitaires classées ailleurs
G735;Myopathie au cours de maladies endocriniennes
G736;Myopathie au cours de maladies métaboliques
G737;Myopathie au cours d'autres maladies classées ailleurs
G800;Paralysie cérébrale spastique (infantile)
G801;Diplégie spastique (infantile)
G802;Hémiplégie infantile
G803;Paralysie cérébrale dyskinétique (infantile)
G804;Paralysie cérébrale ataxique (infantile)
G808;Autres paralysies cérébrales infantiles
G809;Paralysie cérébrale (infantile), sans précision
G810;Hémiplégie flasque
G811;Hémiplégie spastique
G819;Hémiplégie, sans précision
G820;Paraplégie flasque
G821;Paraplégie spastique
G822;Paraplégie, sans précision
G823;Tétraplégie flasque
G824;Tétraplégie spastique
G825;Tétraplégie, sans précision
G830;Diplégie des membres supérieurs
G831;Monoplégie d'un membre inférieur
G832;Monoplégie d'un membre supérieur
G833;Monoplégie, sans précision
G834;Syndrome de la queue de cheval
G838;Autres syndromes paralytiques précisés
G838+0;Locked-in-syndrom
G838+8;Autres syndromes paralytiques précisés, non classés ailleurs
G839;Syndrome paralytique, sans précision
G900;Neuropathie autonome périphérique idiopathique
G901;Dysautonomie familiale [Riley-Day]
G902;Syndrome de Claude Bernard-Horner
G903;Dégénérescence disséminée (système nerveux autonome)
G908;Autres affections du système nerveux autonome
G909;Affection du système nerveux autonome, sans précision
G910;Hydrocéphalie communicante
G911;Hydrocéphalie obstructive (non communicante)
G912;Hydrocéphalie à pression normale
G913;Hydrocéphalie post-traumatique, sans précision
G918;Autres hydrocéphalies
G919;Hydrocéphalie, sans précision
G92;Encéphalopathie toxique
G930;Kystes cérébraux
G931;Lésion cérébrale anoxique, non classée ailleurs
G932;Hypertension intracrânienne bénigne
G933;Syndrome de fatigue post-virale
G934;Encéphalopathie, sans précision
G935;Compression du cerveau
G936;Oedème cérébral
G937;Syndrome de Reye
G938;Autres affections précisées du cerveau
G939;Affection du cerveau, sans précision
G940;Hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs (A00-B99)
G941;Hydrocéphalie au cours de maladies tumorales (C00-D48)
G942;Hydrocéphalie au cours d'autres maladies classées ailleurs
G948;Autres affections précisées du cerveau au cours de maladies classées ailleurs
G950;Syringomyélie et syringobulbie
G951;Myélopathies vasculaires
G952;Compression médullaire, sans précision
G958;Autres affections précisées de la moelle épinière
G959;Affection de la moelle épinière, sans précision
G960;Écoulement du liquide céphalorachidien
G961;Affection des méninges, non classée ailleurs
G968;Autres affections précisées du système nerveux central
G969;Affection du système nerveux central, sans précision
G970;Écoulement du liquide céphalorachidien après rachicentèse
G971;Autre réaction secondaire à une rachicentèse
G972;Hypotension intracrânienne suite à un pontage ventriculaire
G978;Autres affections du système nerveux après un acte à visée diagnostique et thérapeutique
G979;Affection du système nerveux après un acte à visée diagnostique et thérapeutique, sans précision
G98;Autres affections du système nerveux, non classées ailleurs
G990;Neuropathie du système nerveux autonome au cours de maladies endocriniennes et métaboliques
G991;Autres affections du système nerveux autonome au cours d'autres maladies classées ailleurs
G992;Myélopathies au cours de maladies classées ailleurs
G998;Autres affections précisées du système nerveux au cours de maladies classées ailleurs
H000;Orgelet et autres inflammations profondes de la paupière
H001;Chalazion
H010;Blépharite
H011;Dermatoses non infectieuses de la paupière
H018;Autres inflammations précisées de la paupière
H019;Inflammation de la paupière, sans précision
H020;Entropion et trichiasis de la paupière
H021;Ectropion palpébral
H022;Lagophtalmie
H023;Blépharochalasis
H024;Ptosis de la paupière
H025;Autres troubles affectant la fonction palpébrale
H026;Xanthélasma de la paupière
H027;Autres affections dégénératives des paupières et de la région périoculaire
H028;Autres affections précisées des paupières
H029;Affection des paupières, sans précision
H030;Infection parasitaire de la paupière au cours de maladies classées ailleurs
H031;Atteinte de la paupière au cours d'autres maladies infectieuses classées ailleurs
H038;Atteinte de la paupière au cours d'autres maladies classées ailleurs
H040;Dacryoadénite
H041;Autres affections des glandes lacrymales
H042;Épiphora
H043;Inflammation aiguë et sans précision des voies lacrymales
H044;Inflammation chronique des voies lacrymales
H045;Sténose et insuffisance des voies lacrymales
H046;Autres lésions des voies lacrymales
H048;Autres affections de l'appareil lacrymal
H049;Affection de l'appareil lacrymal, sans précision
H050;Inflammation aiguë de l'orbite
H051;Affections inflammatoires chroniques de l'orbite
H052;Exophtalmie
H053;Déformation de l'orbite
H054;Énophtalmie
H055;Rétention (ancienne) de corps étranger secondaire à une plaie pénétrante de l'orbite
H058;Autres affections de l'orbite
H059;Affection de l'orbite, sans précision
H060;Affections de l'appareil lacrymal au cours de maladies classées ailleurs
H061;Infection parasitaire de l'orbite au cours de maladies classées ailleurs
H062;Exophtalmie thyréotoxique (E05.-)
H063;Autres affections de l'orbite au cours de maladies classées ailleurs
H100;Conjonctivite mucopurulente
H101;Conjonctivite atopique aiguë
H102;Autres conjonctivites aiguës
H103;Conjonctivite aiguë, sans précision
H104;Conjonctivite chronique
H105;Blépharo-conjonctivite
H108;Autres conjonctivites
H109;Conjonctivite, sans précision
H110;Ptérygion
H111;Dépôts et affections dégénératives de la conjonctive
H112;Cicatrices de la conjonctive
H113;Hémorragie conjonctivale
H114;Autres troubles vasculaires et kystes de la conjonctive
H118;Autres affections précisées de la conjonctive
H119;Affection de la conjonctive, sans précision
H130;Parasitose filarienne de la conjonctive (B74.-)
H131;Conjonctivite au cours de maladies infectieuses et parasitaires classées ailleurs
H132;Conjonctivite au cours d'autres maladies classées ailleurs
H133;Pemphigoïde oculaire (L12.-)
H138;Autres affections de la conjonctive au cours de maladies classées ailleurs
H150;Sclérite
H151;Épisclérite
H158;Autres affections de la sclérotique
H159;Affection de la sclérotique, sans précision
H160;Ulcère de la cornée
H161;Autres kératites superficielles sans conjonctivite
H162;Kératoconjonctivite
H163;Kératite interstitielle et profonde
H164;Néovascularisation cornéenne
H168;Autres kératites
H169;Kératite, sans précision
H170;Leucome adhérent
H171;Autres opacités cornéennes centrales
H178;Autres cicatrices et opacités cornéennes
H179;Cicatrice et opacité cornéennes, sans précision
H180;Pigmentation et dépôts cornéens
H181;Kératopathie bulleuse
H182;Autre odème de la cornée
H183;Lésions des membranes cornéennes
H184;Dégénérescence de la cornée
H185;Dystrophies cornéennes héréditaires
H186;Kératocône
H187;Autres déformations de la cornée
H188;Autres affections précisées de la cornée
H189;Affection de la cornée, sans précision
H190;Sclérite et épisclérite au cours de maladies classées ailleurs
H191;Kératite et kératoconjonctivite dues au virus de l'herpès (B00.5)
H192;Kératite et kératoconjonctivite au cours d'autres maladies infectieuses et parasitaires classées ailleurs
H193;Kératite et kératoconjonctivite au cours d'autres maladies classées ailleurs
H198;Autres affections de la sclérotique et de la cornée au cours de maladies classées ailleurs
H200;Iridocyclite aiguë et subaiguë
